#,Name,Age Start,Age End,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
,,,,,,,,,,,,,,
442,Brandon Saigeon,19.258,19.718,19,10,2,5,12,17,0.526,0.105,0.263,0.632,0.895
443,Cole Candella,19.59,20.047,18,1,1,3,2,5,0.056,0.056,0.167,0.111,0.278
444,Jack Hanley,19.409,19.869,17,1,1,1,2,3,0.059,0.059,0.059,0.118,0.176
445,Benjamin Gleason,19.48,19.94,19,3,4,4,7,11,0.158,0.211,0.211,0.368,0.579
446,Givani Smith,19.551,20.011,20,8,5,3,13,16,0.4,0.25,0.15,0.65,0.8
447,Drake Rymsha,19.113,19.573,18,10,5,3,15,18,0.556,0.278,0.167,0.833,1
448,Will Bitten,19.187,19.647,15,2,6,0,8,8,0.133,0.4,0,0.533,0.533
449,Michael McLeod,19.617,20.077,20,6,10,5,16,21,0.3,0.5,0.25,0.8,1.05
450,Trenton Bourque,19.267,19.724,20,0,4,4,4,8,0,0.2,0.2,0.2,0.4
451,Michael Pezzetta,19.513,19.973,18,6,3,7,9,16,0.333,0.167,0.389,0.5,0.889
452,Logan Stanley,19.31,19.77,18,4,2,4,6,10,0.222,0.111,0.222,0.333,0.556
